x,y,Nutrient/Item (unit),Year,Reg_Prov,Sex,Age (years),code,ref_code
37.0887587060173,1.53812230327841E-06,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
68.8624487095608,1.35430273623097E-05,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
100.636138713104,7.29411087419756E-05,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
132.409828716648,0.000254938566285,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
164.183518720191,0.000626572811452,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
195.957208723735,0.001183508336621,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
227.730898727278,0.001848500172428,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
259.504588730822,0.002498975886382,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
291.278278734366,0.003006847318508,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
323.051968737909,0.003288325609751,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
354.825658741453,0.003318204587716,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
386.599348744996,0.003122985003918,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
418.37303874854,0.002774483361355,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
450.146728752083,0.002352415727268,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
481.920418755627,0.001913356324344,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
513.69410875917,0.001497498379949,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
545.467798762714,0.001132799233762,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
577.241488766257,0.00083309141453,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
609.015178769801,0.000600421757985,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
640.788868773344,0.000426595477272,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
672.562558776888,0.000300640345094,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
704.336248780431,0.000210780654832,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
736.109938783975,0.000135080709914,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
767.883628787519,6.51628776181218E-05,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
799.657318791062,2.00386097802564E-05,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
831.431008794606,3.61801321434926E-06,Magnesium (mg/d),2004,Canada excluding territories,Male,19 to 30,8,246
63.9495228114078,2.76029669527035E-06,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
79.7599143586244,2.30339591159025E-05,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
95.570305905841,0.000117775310374,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
111.380697453058,0.000391303842336,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
127.191089000274,0.000922515427458,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
143.001480547491,0.001713135550643,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
158.811872094707,0.002724629374664,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
174.622263641924,0.003853634991167,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
190.43265518914,0.00491973391318,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
206.243046736357,0.00576739229919,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
222.053438283574,0.006300769122954,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
237.86382983079,0.006447008884208,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
253.674221378007,0.006186074994839,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
269.484612925223,0.005580483129054,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
285.29500447244,0.004757853384471,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
301.105396019656,0.003865510735889,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
316.915787566873,0.003004021375735,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
332.72617911409,0.00223589267671,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
348.536570661306,0.001608882865709,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
364.346962208523,0.001127431011721,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
380.157353755739,0.000768751177406,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
395.967745302956,0.000506870561466,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
411.778136850173,0.000300694753761,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
427.588528397389,0.000136380421768,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
443.398919944606,4.05968153795011E-05,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
459.209311491822,7.26831384275854E-06,Magnesium (mg/d),2015,Canada excluding territories,Female,9 to 13,5,243
23.8936391497499,1.93092609640195E-06,Magnesium (mg/d),2015,Canada excluding territories,Male,71 and over,14,252
