Nutrient/Item,Reg_Prov,Sex,Age (years),n,DRI type,Prefix-EN,Percentage,SE,E flag,Ref value,Ref value unit_EN
Calcium,Canada excluding territories,Male,19 years and over,6193,EAR,Below,51.7,1.4,,,
Calcium,Canada excluding territories,Female,19 years and over,6841,EAR,Below,77.2,1.1,,,
Calcium,Canada excluding territories,Males and females combined,19 years and over,13034,EAR,Below,64.4,0.9,,,
Calcium,Newfoundland and Labrador,Male,19 years and over,400,EAR,Below,67.4,3.2,,,
Calcium,Newfoundland and Labrador,Female,19 years and over,426,EAR,Below,90.4,2.2,,,
Calcium,Newfoundland and Labrador,Males and females combined,19 years and over,826,EAR,Below,79,1.9,,,
Calcium,Prince Edward Island,Male,19 years and over,313,EAR,Below,48.7,3.5,,,
Calcium,Prince Edward Island,Female,19 years and over,371,EAR,Below,76.3,2.9,,,
Calcium,Prince Edward Island,Males and females combined,19 years and over,684,EAR,Below,62.6,2.3,,,
Calcium,Nova Scotia,Male,19 years and over,422,EAR,Below,45.4,2.9,,,
Calcium,Nova Scotia,Female,19 years and over,534,EAR,Below,78.9,2.6,,,
Calcium,Nova Scotia,Males and females combined,19 years and over,956,EAR,Below,62.5,2,,,
Calcium,New Brunswick,Male,19 years and over,371,EAR,Below,51.5,3.1,,,
Calcium,New Brunswick,Female,19 years and over,463,EAR,Below,78,2.3,,,
Calcium,New Brunswick,Males and females combined,19 years and over,834,EAR,Below,64.8,1.9,,,
Calcium,Quebec,Male,19 years and over,1009,EAR,Below,44.1,2.3,,,
Calcium,Quebec,Female,19 years and over,1113,EAR,Below,67.8,1.9,,,
Calcium,Quebec,Males and females combined,19 years and over,2122,EAR,Below,55.9,1.5,,,
Calcium,Ontario,Male,19 years and over,1321,EAR,Below,56.5,2.1,,,
Calcium,Ontario,Female,19 years and over,1489,EAR,Below,81.4,1.5,,,
Calcium,Ontario,Males and females combined,19 years and over,2810,EAR,Below,69.1,1.4,,,
